DATAFLOW;FREQ;STAT;SPATIAL;TIME_PERIOD;OBS_VALUE;NOT_COUNTED_PROPORTION;GENERAL_STATUS;OBS_STATUS;STATUS;LAND_SURFACE;SPECIAL_VALUE;APPROXIMATELY_LOCATED_POPULATION_PROPORTION;OBS_NOTE;MEASURE;MEASUREMENT_METHOD;UNIT_MEASURE;CONVENTIONALLY_LOCATED_PROPORTION;UNIVERSE;POPULATED;AREA_OF_DISSEMINATION;INSPIREID
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1428000E4733000;2021;6;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1428000E4734000;2021;6;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4727000;2021;16;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4728000;2021;5;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4729000;2021;25;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4730000;2021;32;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4731000;2021;37;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4732000;2021;9;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4733000;2021;876;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1429000E4734000;2021;155;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4726000;2021;14;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4727000;2021;373;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4728000;2021;4217;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4729000;2021;5243;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4730000;2021;243;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4731000;2021;24;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4732000;2021;70;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4733000;2021;6022;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4734000;2021;1065;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1430000E4736000;2021;1;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1431000E4722000;2021;5;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1431000E4723000;2021;11;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1431000E4725000;2021;40;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
